trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.6018409781711584}",20,6,-12.409803859964619,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.6000354552366449}",20,0,-140.2941662028311,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.598235348870935}",25,20,7.640518171760503,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.5964406428243222}",20,0,-99.33487004436459,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.5946513208958493}",20,0,-63.06922828371827,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.5928673669331617}",25,18,-21.5380619412678,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.5910887648323622}",20,0,9.241722123412785,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.5893154985378651}",25,0,-96.94385354018647,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.5875475520422515}",20,0,-142.58298341538978,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.5857849093861247}",20,0,-37.36568333784632,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.5840275546579663}",20,0,6.61228847053923,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.5822754719939924}",30,2,-170.02549374201539,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 4}",1
181,False,"{'a': 0.5, 'e': 0.5805286455780104}",20,0,-97.80082851733115,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
182,False,"{'a': 0.5, 'e': 0.5787870596412764}",20,14,-16.514193249150534,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
